SampleID	Well	Month	Season	Cluster	Zone	Aquifer	TEMP_W_ES	EC	EC25	PH	DO	NH4	PO4	DOC	TOC	TIC	NO3	SO4	Cl	Ca	Fe	Mg	Mn	Na
Sample1	H41	Mar	Spring	02	HTL	HTL	4.4	455	113.779956739689	7.41	6.41	0	0.4	1.3	1.3	36.81	24.34	21.86	5.6	34.7	0	23.17	0	3
Sample2	H41	Jun	Summer	02	HTL	HTL	4.5	465	113.204584012813	8.21	5.5	0.1	0.1	1.1	1.2	37.45	19.29	15.33	5.8	33.7	0	24.51	0	2
Sample3	H41	Aug	Summer	02	HTL	HTL	4.7	444	108.17007265265	7.31	3.71	0.2	0.9	1.7	1.8	32.23	12.98	19.24	5.6	30.9	5.2	29.54	0.35	3.5
Sample4	H41	Nov	Autumn	02	HTL	HTL	4.8	449	110.183877196715	7.31	3.2	0.2	0.1	1.5	1.7	35.84	12.04	16.49	5.7	30.3	1.4	29	0.34	3.3
Sample5	H41	Feb	Winter	02	HTL	HTL	3.9	457	115.937604465473	7.21	6.99	0	1.1	0.7	0.8	34.27	23.79	26.22	5.9	35.4	6	23.9	0.09	3.5
Sample6	H41	May	Spring	02	HTL	HTL	4.8	477	116.36913401063	7.31	7.83	0	2.4	0.7	0.7	35.37	26.71	23.91	5.6	36	2.7	21.95	0.09	1.6
Sample7	H41	July	Summer	02	HTL	HTL	5.1	454	111.046936287029	7.41	4.61	0.1	1.2	1.1	0.8	36.86	17.09	23.22	6.7	32.3	5.7	28.11	0.22	2.5
Sample8	H41	Oct	Autumn	02	HTL	HTL	4.8	454	109.176974924682	7.31	2.6	0.2	1.4	1	1	32.48	11.18	18.91	5.5	29.9	1.9	30.41	0.3	2.9
Sample9	H41	Jan	Winter	02	HTL	HTL	4.9	443	105.724738563428	7.31	1.91	0.2	0.9	0.6	0.8	30.66	10.6	19.77	5.6	28.2	1.9	31.03	0.39	3.1
Sample10	H41	Apr	Spring	02	HTL	HTL	4.8	462	114.211486284846	7.31	6.36	0	0.5	1.2	1	24.8	19.17	15.55	4.9	35.1	2.3	25.47	0.08	2.2
Sample11	H43	Mar	Spring	04	HTU4	HTU	4	452	107.450856744055	7.31	0	0.1	0.5	1.6	1.7	42.08	0	16.89	9.1	29.1	0.1	32.25	0.01	4.1
Sample12	H43	Jun	Summer	04	HTU4	HTU	4.8	441	108.313915834369	7.21	0	0.1	1.1	1.1	1.3	42.42	0	7.58	9.1	29.6	0.1	31.56	0.01	3.9
Sample13	H43	Aug	Summer	04	HTU4	HTU	4.3	451	107.019327198898	7.31	0	0.2	0.1	2.5	2.6	35.67	0	16.88	8.9	29.8	66.4	32.7	4.51	3.4
Sample14	H43	Nov	Autumn	04	HTU4	HTU	4	446	108.026229470931	7.21	0	0.1	0	1.5	1.6	38.09	0	7.43	9.1	29.6	64.3	31.24	5.79	3.7
